date,time,open,high,low,close,volume
2017-03-02,11:00,24.0,25.42,23.5,24.93,107773115.0
2017-03-02,12:00,24.93,25.39,24.86,25.275,32324067.0
2017-03-02,13:00,25.27,25.99,25.16,25.969,23050621.0
2017-03-02,14:00,25.966,26.05,25.05,25.07,22270835.0
2017-03-02,15:00,25.07,25.2,24.45,24.53,29872809.0
2017-03-02,16:00,24.5,24.9,23.9311,24.68,695009.0
2017-03-02,17:00,24.64,25.0,24.6,24.75,154111.0
2017-03-02,18:00,24.71,24.84,24.71,24.83,32958.0
2017-03-02,19:00,24.84,24.9,24.7,24.72,65275.0
2017-03-03,04:00,24.62,24.8,24.31,24.75,16829.0
2017-03-03,05:00,24.88,25.05,24.75,24.98,13140.0
2017-03-03,06:00,24.95,24.95,24.61,24.8,28912.0
2017-03-03,07:00,24.84,25.19,24.75,24.92,221315.0
2017-03-03,08:00,24.92,25.49,24.62,25.47,1847860.0
2017-03-03,09:00,25.48,27.1399,25.44,26.865,30409109.0
2017-03-03,10:00,26.865,28.95,26.62,28.83,35115827.0
2017-03-03,11:00,28.83,29.44,27.4,27.99,31530074.0
2017-03-03,12:00,28.0,28.07,26.39,26.7,17650075.0
2017-03-03,13:00,26.7193,27.5,26.54,27.06,12307415.0
2017-03-03,14:00,27.06,27.5,26.77,27.3632,7586720.0
2017-03-03,15:00,27.3601,27.44,26.8,27.065,10942669.0
2017-03-03,16:00,27.08,27.2,27.04,27.14,222389.0
2017-03-03,17:00,27.15,27.34,27.15,27.29,109664.0
2017-03-03,18:00,27.3,27.36,27.26,27.26,38942.0
2017-03-03,19:00,27.3,27.35,27.25,27.31,61202.0
2017-03-06,04:00,27.52,27.89,27.11,27.62,53191.0
2017-03-06,05:00,27.65,27.74,27.4,27.45,20447.0
2017-03-06,06:00,27.54,28.22,27.47,28.2,125876.0
2017-03-06,07:00,28.25,28.79,27.66,27.9,494989.0
2017-03-06,08:00,27.93,28.78,27.31,28.24,1704337.0
2017-03-06,09:00,28.24,28.59,27.1,27.4399,15540954.0
2017-03-06,10:00,27.43,27.81,24.84,25.04,21108614.0
2017-03-06,11:00,25.05,25.65,24.61,25.3837,9951815.0
2017-03-06,12:00,25.3866,25.54,25.05,25.1473,3141421.0
2017-03-06,13:00,25.145,25.15,24.8,25.03,4381317.0
2017-03-06,14:00,25.035,25.14,24.75,24.8062,3348910.0
2017-03-06,15:00,24.809,24.81,23.79,23.79,11842123.0
2017-03-06,16:00,23.79,25.0,23.47,23.64,550632.0
2017-03-06,17:00,23.6,23.99,23.6,23.81,165213.0
2017-03-06,18:00,23.81,23.85,23.72,23.83,64035.0
2017-03-06,19:00,23.84,23.85,23.7,23.77,35398.0
2017-03-07,04:00,23.14,23.4,23.06,23.29,22417.0
2017-03-07,05:00,23.28,23.35,23.2,23.22,13615.0
2017-03-07,06:00,23.22,23.23,22.75,22.86,52548.0
2017-03-07,07:00,22.86,23.35,22.79,23.2,215625.0
2017-03-07,08:00,23.2,23.34,22.31,22.37,1222528.0
2017-03-07,09:00,22.37,22.7,21.3,21.945,20420566.0
2017-03-07,10:00,21.94,22.5,21.68,21.8366,9854132.0
2017-03-07,11:00,21.84,21.93,20.84,21.26,13558816.0
2017-03-07,12:00,21.2565,21.46,21.0,21.155,5353738.0
2017-03-07,13:00,21.16,21.37,21.06,21.19,3523261.0
2017-03-07,14:00,21.19,21.3,20.64,20.8,7602748.0
2017-03-07,15:00,20.8053,21.5046,20.79,21.4201,9540609.0
2017-03-07,16:00,21.43,22.0,21.1,21.19,147760.0
2017-03-07,17:00,21.19,21.25,21.14,21.2,42238.0
2017-03-07,18:00,21.18,21.25,21.11,21.11,23386.0
2017-03-07,19:00,21.1,21.22,21.1,21.18,41716.0
2017-03-08,04:00,21.55,21.56,21.31,21.45,17303.0
2017-03-08,05:00,21.45,21.5,21.43,21.45,6604.0
2017-03-08,06:00,21.42,21.58,21.4,21.54,15410.0
2017-03-08,07:00,21.51,21.7,21.33,21.7,27194.0
2017-03-08,08:00,21.66,22.07,21.31,21.9,713651.0
2017-03-08,09:00,21.9,22.4,21.68,21.987,8087864.0
2017-03-08,10:00,21.985,22.0,21.31,21.9347,7613762.0
2017-03-08,11:00,21.935,22.18,21.83,22.025,4024360.0
2017-03-08,12:00,22.025,23.05,22.01,22.9998,7142060.0
2017-03-08,13:00,22.993,23.43,22.62,22.93,7081826.0
2017-03-08,14:00,22.93,23.09,22.7102,22.77,3203804.0
2017-03-08,15:00,22.77,23.0,22.55,22.8464,5961832.0
2017-03-08,16:00,22.84,22.84,22.5,22.71,250898.0
2017-03-08,17:00,22.66,22.7,22.52,22.6,22541.0
2017-03-08,18:00,22.64,22.8,22.64,22.7101,17386.0
2017-03-08,19:00,22.71,22.85,22.71,22.83,16392.0
2017-03-09,04:00,22.58,22.6,22.4,22.5,7121.0
2017-03-09,05:00,22.47,22.5,22.47,22.5,300.0
2017-03-09,06:00,22.45,22.65,22.45,22.65,6285.0
2017-03-09,07:00,22.65,22.65,22.5,22.63,10009.0
2017-03-09,08:00,22.6,23.09,22.5,23.0,244614.0
2017-03-09,09:00,23.0,23.68,22.61,22.8776,6472389.0
2017-03-09,10:00,22.868,23.57,22.51,23.2904,5153948.0
2017-03-09,11:00,23.3,23.38,23.04,23.2347,2389465.0
2017-03-09,12:00,23.235,23.6,23.15,23.455,3224213.0
2017-03-09,13:00,23.46,23.5,22.97,23.034,3030242.0
2017-03-09,14:00,23.036,23.09,22.55,23.05,2685667.0
2017-03-09,15:00,23.07,23.07,22.62,22.64,2430092.0
2017-03-09,16:00,22.69,22.75,22.56,22.74,60200.0
2017-03-09,17:00,22.73,22.76,22.7,22.72,5291.0
2017-03-09,18:00,22.71,22.8,22.71,22.8,13000.0
2017-03-09,19:00,22.79,22.85,22.76,22.76,18624.0
2017-03-10,04:00,22.75,22.8,22.69,22.69,9002.0
2017-03-10,05:00,22.76,22.82,22.76,22.82,838.0
2017-03-10,06:00,22.88,23.18,22.88,23.1,16821.0
2017-03-10,07:00,23.1,23.12,22.99,22.99,12963.0
2017-03-10,08:00,23.105,23.2,22.9,23.19,128751.0
2017-03-10,09:00,23.19,23.4,22.83,23.04,3584298.0
2017-03-10,10:00,23.036,23.11,22.57,22.7998,2963725.0
2017-03-10,11:00,22.7768,23.0,22.71,22.77,1750446.0
2017-03-10,12:00,22.7646,22.88,22.72,22.76,1291191.0
2017-03-10,13:00,22.7543,22.84,22.7,22.76,1175169.0
2017-03-10,14:00,22.765,22.78,22.15,22.27,2414789.0
2017-03-10,15:00,22.28,22.4,22.0,22.05,4609780.0
2017-03-10,16:00,22.06,22.15,22.02,22.09,241483.0
2017-03-10,17:00,22.09,22.11,22.0,22.02,28256.0
2017-03-10,18:00,22.05,22.09,22.0,22.09,19571.0
